LOAN  #,Account Number,Status,DEALER,NAME,YEAR,MAKE,MODEL,VIN,GAAP DATE,NOI SENT,DAFS,DATE SOLD,C/O DATE,MONTHS IN INVENTORY,LOCATION,SOLD TO,MILEAGE,CR Grade,CHARGEABLE DAMAGES,BALANCE REPO DATE,AWV,MMR,CASH PRICE,ESTIMATED RECOVERY %,CURRENT MO PROCEEDS ESTIMATE,EOM GAAP PROCEEDS ESTIMATE,ACTUAL PROCEEDS,BACK END PRODUCT CANCELLATION,INSURANCE CLAIMS,GROSS C/O AMT,UNEARNED DISCOUNT,NET LOSS OR GAIN,RECOVERY,REM BAL,CASH OR NEW A/C#?,REASON / COMMENTS,Notes,EXCEPTION?,EXCEPTION DETAIL,Same Month Sale,MIN VAL,GAIN (LOSS),% DIFF,REPO_MONTH,REPO_ALLOW2 (HIST),Proforma NRV,Proforma G/L,Proforma Difference
5347.1,1,Sold,TEXAS LUXURY AUTO,,2011.0,CADILLAC,SRX,3GYFNEEY1BS672291,01/08/2020,01/08/2020,01/20/2020,01/28/2020,01/31/2020,15.2,CARS,CARS,134621.0,2.1,3808.0,8756.96,,6500.0,3800.0,,0.0,2553.6,3800.0,0.0,0.0,-4956.96,804.57,-4152.39,,-4152.39,,,,,,1,3800.0,0.0,0.0,Jan-20,0.328,2553.6,1246.4,0.0
5348.1,1,OCO,DRIVELINE MOTORCARS,,2012.0,HYUNDAI,GENESIS,KMHHT6KD6CU079180,06/26/2019,,,,06/26/2019,21.7,,,,,0.0,951.0,,,,,0.0,0.0,,0.0,0.0,-951.0,810.49,-140.51,,-140.51,,INSURANCE DEFICIENCY,,,,0,,,,Jun-19,,,,
5349.1,1,Sold,WATSON,,2014.0,MITUSBISHI,OUTLANDER,JA4AD2A3XEZ010514,09/28/2020,09/28/2020,10/08/2020,10/30/2020,10/30/2020,6.4,CARS,CARS,104921.0,1.8,4568.0,6803.2,,5550.0,5550.0,,0.0,4551.0,3700.0,0.0,0.0,-3103.2,304.23,-2798.97,,-2798.97,,,,,,0,5550.0,-1850.0,-0.3333333333333333,Sep-20,0.18,4551.0,-851.0,-0.18699186991869918
5352.1,1,Sold,LAKESIDE MOTORS,,2011.0,CHEVY,EQUINOX,2CNALDEC7B6219047,09/15/2020,09/15/2020,09/25/2020,10/08/2020,10/26/2020,6.8,MANHEIM,MANHEIM,72391.0,2.4,4997.0,7866.15,,5750.0,5750.0,,0.0,4715.0,4400.0,0.0,0.0,-3466.15,298.43,-3167.72,,-3167.72,,,,,,0,5750.0,-1350.0,-0.23478260869565218,Sep-20,0.18,4715.0,-315.0,-0.06680805938494168
5353.1,1,Repo,DALLAS MOTORWORKS,,2010.0,FORD,EXPLORER,1FMEU6EE2AUA18913,03/17/2021,03/17/2021,03/29/2021,,,1.28,CARS,,157391.0,,0.0,3714.44,,4175.0,4175.0,,2964.25,3035.46,,0.0,0.0,-750.19,43.7,-706.49,,-706.49,,,,,,0,4175.0,,,Mar-21,0.27294382319857075,,,
5355.1,1,Sold,CASTLE HILLS,,2009.0,FORD,250,1FTSW21549EA48842,03/03/2020,03/03/2020,03/13/2020,03/26/2020,03/27/2020,13.4,MANHEIM,MANHEIM,121159.0,,0.0,12701.76,,9200.0,5500.0,,0.0,3833.5,5500.0,0.0,0.0,-7201.76,1039.7,-6162.06,,-6162.06,,,,,,1,5500.0,0.0,0.0,Mar-20,0.303,3833.5,1666.5,0.0
5357.1,1,Sold,Z AUTO PLACE,,2017.0,TOYOTA,CAMRY,4T1BF1FK5HU375131,07/20/2020,07/20/2020,07/30/2020,09/17/2020,09/24/2020,8.7,CARS,CARS,57291.0,3.3,1628.0,17322.12,,15100.0,15100.0,,0.0,10947.5,11700.0,0.0,0.0,-5622.12,1787.1,-3835.02,,-3835.02,,,,,,0,15100.0,-3400.0,-0.2251655629139073,Jul-20,0.275,10947.5,752.5,0.0
536.1,1,Sold,CHULA,,2001.0,BMW,3 SERIES,,08/09/2012,08/09/2012,08/20/2012,09/06/2012,09/06/2012,105.5,SOLD,CHULA,,,0.0,8390.91,,,,,0.0,0.0,7363.0,0.0,0.0,-1027.91,1440.769096,412.8590959,0.0,412.8590959,ACCT 877,,,,,0,,,,Aug-12,,,,
5362.1,1,Sold,WATSON AUTO GR,,2015.0,NISSAN,ROGUE,JN8AS5MT8FW161352,11/04/2019,11/04/2019,11/14/2019,11/26/2019,11/26/2019,17.4,MANHEIM,MANHEIM,92195.0,2.4,1924.0,10195.57,7400.0,6475.0,6475.0,,0.0,4286.45,7000.0,0.0,0.0,-3195.57,989.56,-2206.01,,-2206.01,,,,,,1,6475.0,525.0,0.08108108108108109,Nov-19,0.338,4286.45,2713.55,0.0
5364.1,1,Sold,BEST DEAL,,2012.0,DODGE,JOURNEY,3C4PDCBG1CT134439,07/09/2019,07/09/2019,07/19/2019,09/20/2019,09/27/2019,21.3,IBEAM,CARS,96047.0,1.4,2801.0,8264.47,5800.0,5275.0,5275.0,,0.0,3824.38,1800.0,0.0,0.0,-6464.47,1656.18,-4808.29,,-4808.29,,,,,,0,5275.0,-3475.0,-0.6587677725118484,Jul-19,0.275,3824.38,-2024.38,-0.5293354739853258
